repo_name,status,classification,openrank_07,stars,trend,language,created_at,description,topics,repo_id,forks
crewAIInc/crewAI,-,Multi-agent Framework,55,35260,"[70, 81, 80, 73, 72, 56, 55]",Python,2023/10/27,"Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks.",,710601088,
mem0ai/mem0,-,Agent Tool,54,37771,"[31, 31, 35, 39, 60, 55, 54]",Python,2023/6/20,Universal memory layer for AI Agents; Announcing OpenMemory MCP - local and secure memory management.,,656099147,
 docling-project/docling,new,Chatbot & Knowledge Management,52,35169,"[52, 54, 53, 58, 66, 60, 52]",Python,2024/7/9,Get your documents ready for gen AI,,826168160,
microsoft/autogen,-,Multi-agent Framework,52,48256,"[100, 116, 103, 91, 82, 64, 52]",Python,2023/8/18,A programming framework for agentic AI __ PyPi: autogen-agentchat Discord: https://aka.ms/autogen-discord Office Hour: https://aka.ms/autogen-officehour,,680120071,
keras-team/keras,x,Training Platform,40,63367,"[62, 59, 64, 60, 56, 48, 40]",Python,2015/3/28,Deep Learning for humans,,33015583,
InternLM/lmdeploy,x,Inference Engine,47,6932,"[70, 64, 68, 65, 56, 48, 47]",Python,2023/6/15,"LMDeploy is a toolkit for compressing, deploying, and serving LLMs.",,654122609,
chroma-core/chroma,-,Vector Storage and Search,72,21455,"[65, 66, 67, 76, 74, 74, 72]",Rust,2022/10/5,Open-source search and retrieval database for AI applications.,,546206616,
Aider-AI/aider,x,AI Coding,50,37000,"[128, 128, 116, 110, 99, 73, 50]",Python,2023/5/9,aider is AI pair programming in your terminal,,638629097,
78/xiaozhi-esp32,new,Embodied Agent,50,17708,"[21, 39, 56, 57, 60, 53, 51]",C++,2024/8/31,An MCP-based chatbot | һ������MCP�����������,,850267588,
containers/ramalama,new,Inference Deploy,50,1961,"[38, 53, 49, 56, 52, 51, 50]",Python,2024/7/24,"RamaLama is an open-source developer tool that simplifies the local serving of AI models from any source and facilitates their use for inference in production, all through the familiar language of containers.",,833306239,
pgvector/pgvector,x,Vector Storage and Search,5,17237,"[13, 12, 10, 9, 8, 5, 5]",C,2021/4/20,Open-source vector similarity search for Postgres,,359952601,
labring/FastGPT,-,Agent Workflow Platform,50,25366,"[74, 86, 101, 94, 79, 63, 50]",TypeScript,2023/2/23,"FastGPT is a knowledge-based platform built on the LLMs, offers a comprehensive suite of out-of-the-box capabilities such as data processing, RAG retrieval, and visual AI workflow orchestration, letting you easily develop and deploy complex question-answering systems without the need for extensive setup or configuration.",,605673387,
weaviate/weaviate,-,Vector Storage and Search,68,14098,"[72, 74, 72, 74, 77, 69, 68]",Go,2016/3/30,"Weaviate is an open-source vector database that stores both objects and vectors, allowing for the combination of vector search with structured filtering with the fault tolerance and scalability of a cloud-native database_.",,55072677,
triton-inference-server/server,x,Inference Deploy,16,9695,"[47, 41, 38, 35, 25, 20, 16]",Python,2018/10/4,The Triton Inference Server provides an optimized cloud and edge inferencing solution.,,151636194,
FlowiseAI/Flowise,-,Agent Workflow Platform,49,42264,"[61, 57, 48, 47, 47, 51, 49]",TypeScript,2023/3/31,"Build AI Agents, Visually",,621803253,
 ChatGPTNextWeb/NextChat,x,Chatbot & Knowledge Management,8,85665,"[40, 61, 37, 25, 17, 12, 8]",TypeScript,2023/3/10,_ Light and Fast AI Assistant. Support: Web | iOS | MacOS | Android | Linux | Windows,,612344730,
microsoft/graphrag,x,Agent Framework,19,27532,"[53, 45, 39, 33, 28, 20, 19]",Python,2024/3/27,A modular graph-based Retrieval-Augmented Generation (RAG) system,,778431525,
 Mintplex-Labs/anything-llm,new,Chatbot & Knowledge Management,49,47410,"[67, 85, 72, 66, 58, 49, 49]",JavaScript,2023/6/4,"The all-in-one Desktop & Docker AI application with built-in RAG, AI agents, No-code agent builder, MCP compatibility, and more.",,649170660,
gpustack/gpustack,new,Inference Deploy,48,3204,"[35, 54, 56, 59, 55, 47, 48]",Python,2024/5/11,"Simple, scalable AI model deployment on GPU clusters",,799049436,
huggingface/text-generation-inference,x,Inference Engine,10,10453,"[46, 53, 37, 29, 26, 19, 10]",Python,2022/10/8,Large Language Model Text Generation Inference,,547806116,
open-compass/opencompass,x,LLMOps,24,5936,"[33, 29, 32, 37, 38, 32, 24]",Python,2023/6/15,"OpenCompass is an LLM evaluation platform, supporting a wide range of models (Llama3, Mistral, InternLM2,GPT-4,LLaMa2, Qwen,GLM, Claude, etc) over 100+ datasets.",,654124617,
lancedb/lancedb,x,Vector Storage and Search,18,7387,"[30, 32, 31, 30, 22, 21, 18]",Rust,2023/2/28,"Developer-friendly, embedded retrieval engine for multimodal AI. Search More; Manage Less.",,607441698,
Genesis-Embodied-AI/Genesis,new,Embodied Agent,46,26957,"[95, 67, 52, 50, 47, 45, 46]",Python,2023/10/31,A generative world for general-purpose robotics & embodied AI learning.,,712225112,
nomic-ai/gpt4all,x,Inference Deploy,2,76557,"[43, 43, 25, 11, 6, 4, 2]",C++,2023/3/27,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.,,619959033,
lm-sys/FastChat,x,LLMOps,1,39036,"[16, 16, 8, 5, 3, 3, 1]",Python,2023/3/19,"An open platform for training, serving, and evaluating large language models. Release repo for Vicuna and Chatbot Arena.",,615882673,
deepspeedai/DeepSpeed,-,Distributed Training,43,39603,"[65, 65, 58, 50, 45, 47, 43]",Python,2020/1/23,"DeepSpeed is a deep learning optimization library that makes distributed training and inference easy, efficient, and effective.",,235860204,
flashinfer-ai/flashinfer,-,AI Kernel Library,41,3471,"[25, 40, 34, 31, 26, 31, 41]",C++,2023/7/22,FlashInfer: Kernel Library for LLM Serving,,669331976,
volcano-sh/volcano,-,Distributed Compute,41,4859,"[37, 35, 41, 40, 44, 37, 41]",Go,2019/3/14,A Cloud Native Batch System (Project under CNCF),,175592968,
NVIDIA/cutlass,-,AI Kernel Library,34,8169,"[35, 39, 34, 35, 37, 33, 34]",C++,2017/11/30,CUDA Templates for Linear Algebra Subroutines,,112542515,
tensorflow/tensorflow,x,Training Platform,39,191360,"[95, 87, 71, 59, 61, 38, 39]",C++,2015/11/7,An Open Source Machine Learning Framework for Everyone,,45717250,
ml-explore/mlx,-,AI Kernel Library,31,21804,"[30, 34, 34, 37, 33, 30, 31]",C++,2023/11/28,MLX: An array framework for Apple silicon,,724854743,
camel-ai/owl,x,General Assistant,8,17936,"[64, 35, 21, 11, 8]",Python,2025/3/3,__ OWL: Optimized Workforce Learning for General Multi-Agent Assistance in Real-World Task Automation,,942114501,
NVIDIA/Megatron-LM,-,Distributed Training,27,13065,"[14, 20, 22, 23, 21, 19, 27]",Python,2019/3/21,Ongoing research training transformer models at scale,,176982014,
qdrant/qdrant,-,Vector Storage and Search,51,25100,"[59, 59, 60, 58, 57, 54, 51]",Rust,2020/5/30,"Qdrant - High-performance, massive-scale Vector Database and Vector Search Engine for the next generation of AI. Also available in the cloud https://cloud.qdrant.io/",,268163609,
stackblitz/bolt.new,x,AI Coding,22,15584,"[233, 219, 214, 194, 178, 82, 22]",TypeScript,2024/9/24,"Prompt, run, edit, and deploy full-stack web applications",,862449441,
qodo-ai/pr-agent,x,AI Coding,22,8738,"[23, 28, 28, 28, 28, 26, 22]",Python,2023/7/5,"__ PR-Agent (Qodo Merge open-source): An AI-Powered __ Tool for Automated Pull Request Analysis, Feedback, Suggestions and More! ____",,662766482,
deepseek-ai/DeepEP,new,AI Kernel Library,26,8402,"[11, 21, 22, 20, 24, 27]",Cuda,2025/2/17,DeepEP: an efficient expert-parallel communication library,,933928679,
Dao-AILab/flash-attention,-,AI Kernel Library,22,18702,"[30, 30, 30, 36, 30, 25, 22]",Python,2022/5/19,Fast and memory-efficient exact attention,,494232964,
 OpenRLHF/OpenRLHF,-,Reinforcement Learning,21,7565,"[35, 39, 47, 44, 34, 25, 21]",Python,2023/7/30,"An Easy-to-use, Scalable and High-performance RLHF Framework based on Ray (PPO & GRPO & REINFORCE++ & vLLM & Ray & Dynamic Sampling & Async Agentic RL)",,672415139,
FoundationAgents/OpenManus,x,General Assistant,10,49279,"[164,88,38,19,10]",Python,2025/3/6,,,943934999,
TabbyML/tabby,x,AI Coding,13,32003,"[39, 42, 40, 39, 37, 21, 13]",Rust,2023/3/16,Self-hosted AI coding assistant,,614764248,
 inclusionAI/AReaL,new,Reinforcement Learning,20,2267,"[2, 5, 7, 7, 17, 19]",Python,2025/2/24,Distributed RL System for LLM Reasoning,,937952934,
