repo_name,layer1,layer2,layer3,stars,language,created_at,trend,status,openrank_01,openrank_07,delta,description,repo_id
ollama/ollama,AI Infra,Serving,Inference Deploy,148664,Go,2023/6/26,"[281, 339, 327, 295, 273, 220, 200]",-,281,200,-81,"Get up and running with Llama 3.3, DeepSeek-R1, Phi-4, Gemma 3, Mistral Small 3.1 and other large language models.",658928958
PaddlePaddle/Paddle,AI Infra,Training,Training Platform,23102,C++,2016/8/15,"[242, 215, 209, 205, 199, 217, 198]",-,242,198,-44,PArallel Distributed Deep LEarning: Machine Learning Framework from Industrial Practice �����ɽ������Ŀ�ܣ����ѧϰ&����ѧϰ�����ܵ������ֲ�ʽѵ���Ϳ�ƽ̨����,65711522
sst/opencode,AI Agent,AI Coding,,17071,Go,2025/4/30,"[19, 102, 195]",new,19,195,176,"AI coding agent, built for the terminal.",975734319
 volcengine/verl,AI Infra,Training,Reinforcement Learning,11805,Python,2024/10/31,"[21, 60, 112, 159, 176, 179, 193]",-,21,193,172,verl: Volcano Engine Reinforcement Learning for LLMs,881221486
supabase/supabase,AI Agent,Agent Tool,,86533,TypeScript,2019/10/12,"[187, 195, 187, 188, 191, 179, 178]",new,187,178,-9,"The Postgres development platform. Supabase gives you a dedicated Postgres database to build your web, mobile, and AI applications.",214587193
langflow-ai/langflow,AI Agent,Agent Workflow Platform,,95122,Python,2023/2/8,"[171, 169, 160, 164, 160, 151, 143]",new,171,143,-28,Langflow is a powerful tool for building and deploying AI-powered agents and workflows.,599320067
 open-webui/open-webui,AI Agent,Chatbot & Knowledge Management,,105134,JavaScript,2023/10/6,"[200, 286, 249, 244, 255, 206, 169]",-,200,169,-31,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)",701547123
apache/iceberg,AI Data,Data Governance,,7783,Java,2018/11/19,"[124, 130, 122, 132, 139, 133, 132]",-,124,132,8,Apache Iceberg,158256479
kvcache-ai/ktransformers,AI Infra,Serving,Inference Engine,14919,Python,2024/7/26,"[4, 138, 108, 102, 76, 50, 34]",x,4,34,30,A Flexible Framework for Experiencing Cutting-edge LLM Inference Optimizations,833984877
apache/spark,AI Infra,Distributed Compute,,41604,Scala,2014/2/25,"[221, 210, 192, 174, 165, 162, 165]",-,221,165,-56,Apache Spark - A unified analytics engine for large-scale data processing,17165658
vllm-project/aibrix,AI Infra,Serving,Inference Deploy,4098,Jupyter Notebook,2024/6/10,"[10, 22, 28, 37, 37, 38]",x,10,38,28,Cost-efficient and pluggable Infrastructure components for GenAI inference,813348592
infiniflow/ragflow,AI Agent,Agent Workflow Platform,,61640,Python,2023/12/12,"[133, 190, 260, 247, 216, 184, 161]",-,133,161,28,RAGFlow is an open-source RAG (Retrieval-Augmented Generation) engine based on deep document understanding.,730534580
open-metadata/OpenMetadata,AI Data,Data Governance,,7230,TypeScript,2021/8/1,"[120, 116, 118, 118, 118, 112, 115]",-,120,115,-5,"OpenMetadata is a unified metadata platform for data discovery, data observability, and data governance powered by a central metadata repository, in-depth column level lineage, and seamless team collaboration.",391740664
NVIDIA/NeMo,AI Infra,Training,Distributed Training,15300,Python,2019/8/5,"[184, 186, 191, 212, 223, 184, 149]",-,184,149,-35,"A scalable generative AI framework built for researchers and developers working on Large Language Models, Multimodal, and Speech AI (Automatic Speech Recognition and Text-to-Speech)",200722670
vercel/ai,AI Agent,Agent Tool,,16320,TypeScript,2023/5/23,"[92, 112, 117, 133, 123, 114, 145]",-,92,145,53,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents",644461337
cline/cline,AI Agent,AI Coding,,48658,TypeScript,2024/7/6,"[109, 133, 147, 163, 184, 175, 181]",-,109,181,72,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",824874689
datahub-project/datahub,AI Data,Data Governance,,10908,Java,2015/11/18,"[91, 95, 96, 101, 106, 100, 102]",-,91,102,11,The Metadata Platform for your Data and AI Stack,46398090
ai-dynamo/dynamo,AI Infra,Serving,Inference Deploy,4642,Rust,2025/3/3,"[39, 88, 110, 127, 140]",-,39,140,101,A Datacenter Scale Distributed Inference Serving Framework,942206898
kvcache-ai/Mooncake,AI Infra,Serving,Inference Deploy,3829,C++,2024/6/25,"[15, 18, 20, 26, 35, 35, 36]",x,15,36,21,"Mooncake is the serving platform for Kimi, a leading LLM service provided by Moonshot AI.",819733173
block/goose,AI Agent,AI Coding,,18122,Rust,2024/8/23,"[71, 93, 98, 110, 118, 126, 139]",new,71,139,68,"an open source, extensible AI agent that goes beyond code suggestions - install, execute, edit, and test with any LLM",846698999
mastra-ai/mastra,AI Agent,Agent Workflow Platform,,15510,TypeScript,2024/8/6,"[26, 47, 79, 98, 115, 125, 135]",new,26,135,109,"The TypeScript AI agent framework. _ Assistants, RAG, observability. Supports any LLM: GPT-4, Claude, Gemini, Llama.",839037098
modelscope/ms-swift,AI Infra,Training,Fine-tune,9063,Python,2023/8/1,"[86, 100, 120, 128, 135, 119, 113]",new,86,113,27,"Use PEFT or Full-parameter to CPT/SFT/DPO/GRPO 500+ LLMs (Qwen3, Qwen3-MoE, Llama4, GLM4.5, InternLM3, DeepSeek-R1, ...) and 200+ MLLMs (Qwen2.5-VL, Qwen2.5-Omni, Qwen2-Audio, Ovis2, InternVL3, Llava, GLM4v, Phi4, ...) (AAAI 2025).",673412924
agno-agi/agno,AI Agent,Agent Framework,Multi-agent Framework,31212,Python,2022/5/4,"[65, 82, 95, 107, 111, 103, 106]",new,65,106,41,"Full-stack framework for building Multi-Agent Systems with memory, knowledge and reasoning.",488641606
apache/gravitino,AI Data,Data Governance,,1728,Java,2023/4/23,"[92, 84, 78, 79, 71, 71, 78]",-,92,78,-14,"World's most powerful open data catalog for building a high-performance, geo-distributed and federated metadata lake.",631431061
triton-lang/triton,AI Infra,AI Compiler,,16380,MLIR,2014/8/30,"[113, 116, 114, 114, 118, 122, 122]",-,113,122,9,Development repository for the Triton language and compiler,23496542
delta-io/delta,AI Data,Data Governance,,8188,Scala,2019/4/22,"[62, 60, 70, 73, 71, 72, 69]",-,62,69,7,"An open-source storage framework that enables building a Lakehouse architecture with compute engines including Spark, PrestoDB, Flink, Trino, and Hive and APIs",182849188
apache/paimon,AI Data,Data Governance,,2914,Java,2022/1/12,"[82, 82, 79, 83, 76, 65, 68]",-,82,68,-14,Apache Paimon is a lake format that enables building a Realtime Lakehouse Architecture with Flink and Spark for both streaming and batch operations.,447060287
comfyanonymous/ComfyUI,AI Agent,Agent Tool,,84372,Python,2023/1/17,"[153, 149, 144, 162, 161, 127, 115]",-,153,115,-38,"The most powerful and modular diffusion model GUI, api and backend with a graph/nodes interface.",589831718
modular/modular,AI Infra,AI Compiler,,24590,Mojo,2023/4/28,"[64, 59, 59, 75, 91, 90, 98]",new,64,98,34,The Modular Platform (includes MAX & Mojo),634043200
google/adk-python,AI Agent,Agent Tool,,11477,Python,2025/4/1,"[73, 119, 118, 109]",-,73,109,36,"An open-source, code-first Python toolkit for building, evaluating, and deploying sophisticated AI agents with flexibility and control.",958830659
pydantic/pydantic-ai,AI Agent,Agent Framework,,11416,Python,2024/6/21,"[84, 85, 94, 113, 114, 104, 97]",new,84,97,13,Agent Framework / shim to use Pydantic with LLMs,818331198
 lobehub/lobe-chat,AI Agent,Chatbot & Knowledge Management,,64080,TypeScript,2023/5/21,"[125, 204, 186, 166, 144, 113, 105]",-,125,105,-20,"__ Lobe Chat - an open-source, modern design AI chat framework. Supports multiple AI providers (OpenAI / Claude 4 / Gemini / DeepSeek / Ollama / Qwen), Knowledge Base (file upload / RAG ), one click install MCP Marketplace and Artifacts / Thinking. One-click FREE deployment of your private AI Agent application.",643445235
apache/hudi,AI Data,Data Governance,,5895,Java,2016/12/14,"[85, 84, 91, 90, 84, 74, 65]",-,85,65,-20,"Upserts, Deletes And Incremental Processing on Big Data.",76474200
langchain-ai/langgraph,AI Agent,Agent Framework,,16775,Python,2023/8/9,"[96, 91, 79, 84, 98, 95, 101]",-,96,101,5,Build resilient language agents as graphs.,676672661
mlflow/mlflow,AI Infra,LLMOps,,21449,Python,2018/6/5,"[90, 93, 94, 105, 104, 97, 100]",-,90,100,10,"The open source developer platform to build AI/LLM applications and models with confidence. Enhance your AI applications with end-to-end tracking, observability, and evaluations, all in one integrated platform.",136202695
 danny-avila/LibreChat,AI Agent,Chatbot & Knowledge Management,,28706,TypeScript,2023/2/12,"[75, 86, 92, 98, 103, 97, 93]",new,75,93,18,"Enhanced ChatGPT Clone: Features Agents, DeepSeek, Anthropic, AWS, OpenAI, Responses API, Azure, Groq, o1, GPT-4o, Mistral, OpenRouter, Vertex AI, Gemini, Artifacts, AI model switching, message search, Code Interpreter, langchain, DALL-E-3, OpenAPI Actions, Functions, Secure Multi-User Auth, Presets, open-source for self-hosting. Active project.",600596928
browser-use/browser-use,AI Agent,Agent Tool,,66952,Python,2024/10/31,"[64, 95, 111, 115, 113, 96, 97]",-,64,97,33,__ Make websites accessible for AI agents. Automate tasks online with ease.,881458615
livekit/agents,AI Agent,Agent Framework,,6961,Python,2023/10/19,"[57, 64, 81, 98, 105, 96, 91]",new,57,91,34,A powerful framework for building realtime voice AI agents _______,707441527
langchain-ai/langchain,AI Agent,Agent Framework,,112864,Jupyter Notebook,2022/10/17,"[186, 170, 143, 137, 103, 91, 95]",-,186,95,-91,____ Build context-aware reasoning applications,552661142
spring-projects/spring-ai,AI Agent,Agent Framework,,6329,Java,2023/6/27,"[61, 64, 69, 103, 122, 98, 87]",new,61,87,26,An Application Framework for AI Engineering,659402878
unslothai/unsloth,AI Infra,Training,Fine-tune,43178,Python,2023/11/29,"[66, 106, 134, 134, 117, 101, 92]",-,66,92,26,"Fine-tuning & Reinforcement Learning for LLMs. __ Train Qwen3, Llama 4, DeepSeek-R1, Gemma 3, TTS 2x faster with 70% less VRAM.",725205304
1Panel-dev/1Panel,AI Infra,LLMOps,,30455,Go,2022/7/19,"[64, 65, 63, 60, 70, 85, 84]",new,64,84,20,"__ 1Panel provides an intuitive web interface and MCP Server to manage websites, files, containers, databases, and LLMs on a Linux server.",515647260
continuedev/continue,AI Agent,AI Coding,,28087,TypeScript,2023/5/24,"[143, 166, 175, 179, 180, 146, 134]",-,143,134,-9,"_ Create, share, and use custom AI code assistants with our open-source IDE extensions and hub of rules, tools, and models",644686905
jax-ml/jax,AI Infra,Training,Training Platform,33002,Python,2018/10/25,"[100, 102, 101, 101, 93, 85, 87]",-,100,87,-13,"Composable transformations of Python+NumPy programs: differentiate, vectorize, JIT to GPU/TPU, and more",154739597
run-llama/llama_index,AI Agent,Agent Framework,,43500,Python,2022/11/2,"[135, 121, 114, 110, 105, 103, 86]",-,135,86,-49,LlamaIndex is the leading framework for building LLM-powered agents over your data.,560704231
hiyouga/LLaMA-Factory,AI Infra,Training,Fine-tune,55513,Python,2023/5/28,"[125, 128, 138, 141, 128, 96, 85]",-,125,85,-40,Unified Efficient Fine-Tuning of 100+ LLMs & VLMs (ACL 2024),646410686
All-Hands-AI/OpenHands,AI Agent,AI Coding,,61700,Python,2024/3/13,"[120, 127, 118, 131, 139, 135, 132]",-,120,132,12,"__ OpenHands: Code Less, Make More",771302083
unitycatalog/unitycatalog,AI Data,Data Governance,,3059,Python,2024/6/13,"[33, 29, 23, 17, 14, 10, 4]",x,33,4,-29,"Open, Multi-modal Catalog for Data & AI",814708478
apache/airflow,AI Data,Data Integration,,41371,Python,2015/4/13,"[253, 261, 283, 307, 298, 314, 323]",-,253,323,70,"Apache Airflow - A platform to programmatically author, schedule, and monitor workflows",33884891
marimo-team/marimo,AI Agent,AI Coding,,15068,Python,2023/8/14,"[62, 65, 73, 83, 85, 86, 82]",new,62,82,20,"A reactive notebook for Python �� run reproducible experiments, query with SQL, execute as a script, deploy as an app, and version with git. All in a modern, AI-native editor.",678526156
openai/codex,AI Agent,AI Coding,,35282,Rust,2025/4/13,"[137, 130, 96, 81]",new,137,81,-56,Lightweight coding agent that runs in your terminal,965415649
airbytehq/airbyte,AI Data,Data Integration,,19049,Python,2020/7/27,"[215, 208, 201, 189, 194, 176, 166]",-,215,166,-49,"The leading data integration platform for ETL / ELT data pipelines from APIs, databases & files to data warehouses, data lakes & data lakehouses. Both self-hosted and Cloud-hosted.",283046497
ComposioHQ/composio,AI Agent,Agent Tool,,25674,Python,2024/2/23,"[26, 27, 31, 26, 18, 22, 28]",x,26,28,2,Composio equips your AI agents & LLMs with 100+ high-quality integrations via function calling,762304524
dagster-io/dagster,AI Data,Data Integration,,13700,Python,2018/4/30,"[179, 174, 169, 170, 170, 160, 149]",-,179,149,-30,"An orchestration platform for the development, production, and observation of data assets.",131619646
zaidmukaddam/scira,AI Agent,AI Search Engine,,10503,TypeScript,2024/8/7,"[8, 11, 11, 9, 11, 9, 9]",x,8,9,1,Scira (Formerly MiniPerplx) is a minimalistic AI-powered search engine that helps you find information on the internet and cites it too. Powered by Vercel AI SDK! Search with models like xAI's Grok 3.,839372398
microsoft/semantic-kernel,AI Agent,Agent Framework,,25655,C#,2023/2/27,"[91, 98, 105, 116, 119, 102, 77]",-,91,77,-14,Integrate cutting-edge LLM technology quickly and easily into your apps,607289185
langfuse/langfuse,AI Infra,LLMOps,,14616,TypeScript,2023/5/18,"[68, 73, 77, 77, 72, 70, 76]",new,68,76,8,"__ Open source LLM engineering platform: LLM Observability, metrics, evals, prompt management, playground, datasets. Integrates with OpenTelemetry, Langchain, OpenAI SDK, LiteLLM, and more. __YC W23",642497346
camel-ai/camel,AI Agent,Agent Framework,Multi-agent Framework,13710,Python,2023/3/17,"[47, 56, 70, 81, 82, 82, 74]",-,47,74,27,__ CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org,615510678
wandb/wandb,AI Infra,LLMOps,,10184,Python,2017/3/24,"[92, 85, 74, 76, 74, 79, 74]",-,92,74,-18,"The AI developer platform. Use Weights & Biases to train and fine-tune models, and manage models from experimentation to production.",86031674
 AstrBotDevs/AstrBot,AI Agent,Chatbot & Knowledge Management,,11125,Python,2022/12/8,"[8, 50, 72, 79, 82, 73, 73]",new,8,73,65,_ 多平台 LLM 机器人控制台 _ 支持 QQ、QQ 频道、Telegram、微信等 | 知识库、MCP 以及 OpenAI、DeepSeek、Gemini 等模型；支持 Ollama、OneAPI、Dify,575865240
activepieces/activepieces,AI Agent,Agent Workflow Platform,,16124,TypeScript,2022/12/3,"[51, 47, 48, 55, 66, 66, 71]",new,51,71,20,AI Agents & MCPs & AI Workflow Automation _ (280+ MCP servers for AI agents) _ AI Automation / AI Agent with MCPs _ AI Workflows & AI Agents _ MCPs for AI Agents,573661753
searxng/searxng,AI Agent,AI Search Engine,,21459,Python,2021/4/12,"[30, 32, 37, 33, 37, 32, 28]",x,30,28,-2,SearXNG is a free internet metasearch engine which aggregates results from various search services and databases. Users are neither tracked nor profiled.,357241735
openai/openai-agents-python,AI Agent,Agent Framework,Multi-agent Framework,13225,Python,2025/3/11,"[64, 73, 70, 60, 72]",-,64,72,8,"A lightweight, powerful framework for multi-agent workflows",946380199
Zipstack/unstract,AI Data,Data Integration,,5726,Python,2024/2/21,"[32, 27, 33, 39, 38, 36, 37]",x,32,37,5,No-code LLM Platform to launch APIs and ETL Pipelines to structure unstructured documents,761150311
 Farama-Foundation/Gymnasium,AI Infra,Training,Reinforcement Learning,9979,Python,2022/9/8,"[9, 12, 12, 8, 9, 8, 5]",x,9,5,-4,"An API standard for single-agent reinforcement learning environments, with popular reference environments and related utilities (formerly Gym)",534011733
microsoft/OmniParser,AI Agent,Agent Tool,,23390,Jupyter Notebook,2024/9/20,"[8, 27, 23, 12, 9, 4, 4]",x,8,4,-4,A simple screen parsing tool towards pure vision based GUI agent,860252770
Unstructured-IO/unstructured,AI Data,Data Integration,,12487,HTML,2022/9/26,"[24, 24, 18, 16, 12, 11, 17]",x,24,17,-7,"Convert documents to structured data effortlessly. Unstructured is open-source ETL solution for transforming complex documents into clean, structured formats for language models. Visit our website to learn more about our enterprise grade Platform product for production grade workflows, partitioning, enrichments, chunking and embedding.",541798154
 chatboxai/chatbox,AI Agent,Chatbot & Knowledge Management,,36376,TypeScript,2023/3/6,"[29, 50, 41, 35, 24, 23, 24]",x,29,24,-5,"User-friendly Desktop Client App for AI Models/LLMs (GPT, Claude, Gemini, Ollama...)",610260322
rapidsai/cudf,AI Infra,AI Kernel Library,,9098,C++,2017/5/7,"[72, 68, 70, 71, 75, 71, 70]",new,72,70,-2,cuDF - GPU DataFrame Library,90506918
bentoml/BentoML,AI Infra,Serving,Inference Deploy,8018,Python,2019/4/2,"[15, 15, 15, 13, 14, 9, 9]",x,15,9,-6,"The easiest way to serve AI apps and models - Build Model Inference APIs, Job queues, LLM apps, Multi-model pipelines, and more!",178976529
kserve/kserve,AI Infra,Serving,Inference Deploy,4484,Python,2019/3/27,"[30, 28, 27, 30, 28, 29, 24]",x,30,24,-6,Standardized Serverless ML Inference Platform on Kubernetes,178075572
deepset-ai/haystack,AI Agent,Agent Workflow Platform,,22032,Python,2019/11/14,"[30, 32, 34, 36, 33, 24, 24]",x,30,24,-6,"AI orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots.",221654678
iterative/datachain,AI Data,Data Integration,,2625,Python,2024/6/25,"[31, 27, 28, 24, 19, 19, 19]",x,31,19,-12,"ETL, Analytics, Versioning for Unstructured Data",820144741
comet-ml/opik,AI Infra,LLMOps,,12161,Python,2023/5/10,"[51, 55, 58, 69, 75, 76, 69]",new,51,69,18,"Debug, evaluate, and monitor your LLM applications, RAG systems, and agentic workflows with comprehensive tracing, automated evaluations, and production-ready dashboards.",638951438
NVIDIA/nccl,AI Infra,AI Kernel Library,,3980,C++,2015/11/14,"[24, 20, 18, 18, 17, 15, 17]",x,24,17,-7,Optimized primitives for collective multi-GPU communication,46153892
Significant-Gravitas/AutoGPT,AI Agent,Agent Workflow Platform,,178099,Python,2023/3/16,"[49, 52, 47, 44, 43, 41, 41]",x,49,41,-8,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",614765452
mindverse/Second-Me,AI Agent,General Assistant,,14073,Python,2025/3/16,"[17, 31, 29, 15, 9]",x,17,9,-8,"Train your AI self, amplify you, bridge the world",949271792
Arize-ai/phoenix,AI Infra,LLMOps,,6543,Jupyter Notebook,2022/11/9,"[53, 54, 50, 52, 60, 64, 66]",new,53,66,13,AI Observability & Evaluation,564072810
dbt-labs/dbt-core,AI Data,Data Integration,,11294,Python,2016/3/10,"[39, 39, 36, 39, 35, 31, 25]",x,39,25,-14,dbt enables data analysts and engineers to transform their data using the same practices that software engineers use to build applications.,53548867
PrefectHQ/prefect,AI Data,Data Integration,,20175,Python,2018/6/29,"[101, 98, 92, 76, 65, 45, 44]",x,101,44,-57,Prefect is a workflow orchestration framework for building resilient data pipelines in Python.,139199684
HumanSignal/label-studio,AI Data,Data Labeling,,24041,JavaScript,2019/6/19,"[71, 68, 69, 76, 80, 82, 79]",-,71,79,8,Label Studio is a multi-type data labeling and annotation tool with standardized output format,192640529
cvat-ai/cvat,AI Data,Data Labeling,,14179,Python,2018/6/29,"[56, 54, 55, 54, 52, 50, 49]",-,56,49,-7,"Annotate better with CVAT, the industry-leading data engine for machine learning. Used and trusted by teams at any scale, for data of any scale.",139156354
mlrun/mlrun,AI Infra,LLMOps,,1564,Python,2019/9/1,"[56, 56, 51, 54, 55, 58, 56]",-,56,56,0,"MLRun is an open source MLOps platform for quickly building and managing continuous ML applications across their lifecycle. MLRun integrates into your development and CI/CD environment and automates the delivery of production data, ML pipelines, and online applications.",205706595
 oobabooga/text-generation-webui,AI Agent,Client Interface,,44809,Python,2022/12/21,"[32, 28, 23, 25, 31, 27, 22]",x,32,22,-10,"LLM UI with advanced features, easy setup, and multiple backend support.",580642043
hpcaitech/ColossalAI,AI Infra,Training,Training Platform,41118,Python,2021/10/28,"[19, 21, 14, 15, 14, 12, 8]",x,19,8,-11,"Making large AI models cheaper, faster and more accessible",422274596
 SillyTavern/SillyTavern,AI Agent,Client Interface,,17888,JavaScript,2023/2/9,"[49, 50, 47, 51, 45, 38, 38]",x,49,38,-11,LLM Frontend for Power Users.,599524116
AUTOMATIC1111/stable-diffusion-webui,AI Agent,Client Inferface,,155974,Python,2022/8/22,"[20, 18, 17, 15, 12, 7, 9]",x,20,9,-11,Stable Diffusion web UI,527591471
modelcontextprotocol/servers,AI Agent,Agent Tool,,62815,TypeScript,2024/11/19,"[51, 38, 88, 114, 107, 81, 66]",-,51,66,15,Model Context Protocol Servers,890668799
vespa-engine/vespa,AI Data,Data Labeling,,6266,Java,2016/6/3,"[49, 53, 55, 56, 59, 48, 46]",new,49,46,-3,"AI + Data, online. https://vespa.ai",60377070
elastic/elasticsearch,AI Data,Vector Storage and Search,,73644,Java,2010/2/8,"[364, 348, 341, 344, 348, 340, 335]",-,364,335,-29,"Free and Open Source, Distributed, RESTful Search Engine",507775
dask/dask,AI Infra,Distributed Compute,,13438,Python,2015/1/4,"[20, 23, 19, 19, 15, 9, 8]",x,20,8,-12,Parallel computing with task scheduling,28782747
mlc-ai/mlc-llm,AI Infra,Serving,Inference Deploy,21188,Python,2023/4/29,"[20, 17, 19, 15, 10, 7, 7]",x,20,7,-13,Universal LLM Deployment Engine with ML Compilation,634081686
FoundationAgents/MetaGPT,AI Agent,Agent Framework,Multi-agent Framework,58114,Python,2023/6/30,"[17, 17, 20, 13, 11, 8, 4]",x,17,4,-13,"__ The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming",660551251
 siyuan-note/siyuan,AI Agent,Chatbot & Knowledge Management,,36383,TypeScript,2020/8/30,"[101, 90, 86, 86, 75, 75, 65]",new,101,65,-36,"A privacy-first, self-hosted, fully open source personal knowledge management software, written in typescript and golang.",291438522
chatchat-space/Langchain-Chatchat,AI Agent,Agent Workflow Platform,,35964,TypeScript,2023/3/31,"[19, 15, 16, 14, 10, 8, 6]",x,19,6,-13,"Langchain-Chatchat��ԭLangchain-ChatGLM������ Langchain �� ChatGLM, Qwen �� Llama ������ģ�͵� RAG �� Agent Ӧ�� | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM, Qwen and Llama) RAG and Agent app with langchain",621799276
ItzCrazyKns/Perplexica,AI Agent,AI Search Engine,,23735,TypeScript,2024/4/9,"[23, 21, 22, 22, 12, 12, 10]",x,23,10,-13,Perplexica is an AI-powered search engine. It is an Open source alternative to Perplexity AI,784181462
milvus-io/milvus,AI Data,Vector Storage and Search,,36351,Go,2019/9/16,"[162, 154, 154, 152, 145, 134, 142]",-,162,142,-20,"Milvus is a high-performance, cloud-native vector database built for scalable vector ANN search",208728772
microsoft/onnxruntime,AI Infra,Serving,Inference Engine,17671,C++,2018/11/10,"[204, 197, 197, 205, 185, 170, 190]",x,204,190,-14,"ONNX Runtime: cross-platform, high performance ML inferencing and training accelerator",156939672
pipecat-ai/pipecat,AI Agent,Agent Framework,,7359,Python,2023/12/27,"[53, 59, 55, 70, 76, 64, 64]",new,53,64,11,Open Source framework for voice and multimodal conversational AI,736272311
yetone/avante.nvim,AI Agent,AI Coding,,15439,Lua,2024/8/14,"[57, 75, 89, 79, 81, 79, 60]",new,57,60,3,Use your Neovim like using Cursor AI IDE!,842586148
sourcegraph/cody,AI Agent,AI Coding,,32004,TypeScript,2023/7/10,"[116, 124, 120, 104, 87, 68, 57]",x,116,57,-59,"Type less, code more: Cody is an AI code assistant that uses advanced search and codebase context to help you write and fix code.",664592117
elizaOS/eliza,AI Agent,Agent Framework,,16537,TypeScript,2024/7/9,"[293, 229, 163, 113, 88, 76, 60]",new,293,60,-233,Autonomous agents for everyone,826170402
opensearch-project/OpenSearch,AI Data,Vector Storage and Search,,11428,Java,2021/1/29,"[115, 115, 109, 123, 125, 122, 118]",-,115,118,3,__ Open source distributed and RESTful search engine.,334274271
NVIDIA/TransformerEngine,AI Infra,AI Kernel Library,,2598,Python,2022/9/20,"[43, 42, 55, 58, 58, 54, 58]",new,43,58,15,"A library for accelerating Transformer models on NVIDIA GPUs, including using 8-bit floating point (FP8) precision on Hopper, Ada and Blackwell GPUs, to provide better performance with lower memory utilization in both training and inference.",539057023
